date,value
2022-03-16,200.0
2022-03-17,200.0
2022-03-18,200.0
2022-03-19,300.0
2022-03-20,300.0
2022-03-21,300.0
2022-03-22,300.0
2022-03-23,200.0
2022-03-24,300.0
2022-03-25,300.0
2022-03-26,200.0
2022-03-27,400.0
2022-03-28,200.0
2022-03-29,100.0
2022-03-30,200.0
2022-03-31,200.0
2022-04-01,100.0
2022-04-02,200.0
2022-04-03,300.0
2022-04-04,200.0
2022-04-05,100.0
2022-04-06,300.0
2022-04-07,100.0
2022-04-08,100.0
2022-04-09,200.0
2022-04-10,200.0
2022-04-11,100.0
2022-04-12,200.0
2022-04-13,100.0
2022-04-14,100.0
2022-04-15,100.0
2022-04-16,200.0
2022-04-17,300.0
2022-04-18,200.0
2022-04-19,100.0
2022-04-20,100.0
2022-04-21,200.0
2022-04-22,400.0
2022-04-23,200.0
2022-04-24,100.0
2022-04-25,200.0
2022-04-26,300.0
2022-04-27,400.0
2022-04-28,200.0
2022-04-29,200.0
2022-04-30,300.0
2022-05-01,300.0
2022-05-02,400.0
2022-05-03,300.0
2022-05-04,200.0
2022-05-05,200.0
2022-05-06,200.0
2022-05-07,400.0
2022-05-08,150.0
2022-05-09,350.0
2022-05-10,350.0
2022-05-11,300.0
2022-05-12,250.0
2022-05-13,300.0
2022-05-14,200.0
2022-05-15,300.0
2022-05-16,200.0
2022-05-17,400.0
2022-05-18,200.0
2022-05-19,200.0
2022-05-20,150.0
2022-05-21,200.0
2022-05-22,150.0
2022-05-23,150.0
2022-05-24,100.0
2022-05-25,150.0
2022-05-26,150.0
2022-05-27,250.0
2022-05-28,150.0
2022-05-29,200.0
2022-05-30,150.0
2022-05-31,200.0
2022-06-01,150.0
2022-06-02,100.0
2022-06-03,100.0
2022-06-04,100.0
2022-06-05,100.0
2022-06-06,110.0
2022-06-07,140.0
2022-06-08,200.0
2022-06-09,200.0
2022-06-10,150.0
2022-06-11,100.0
2022-06-12,150.0
2022-06-13,200.0
2022-06-14,250.0
2022-06-15,200.0
2022-06-16,200.0
2022-06-17,200.0
2022-06-18,250.0
2022-06-19,200.0
2022-06-20,300.0
2022-06-21,130.0
2022-06-22,200.0
2022-06-23,100.0
2022-06-24,170.0
2022-06-25,150.0
2022-06-26,150.0
2022-06-27,250.0
2022-06-28,200.0
2022-06-29,150.0
2022-06-30,150.0
2022-07-01,120.0
2022-07-02,100.0
2022-07-03,230.0
2022-07-04,150.0
2022-07-05,150.0
2022-07-06,150.0
2022-07-07,250.0
2022-07-08,300.0
2022-07-09,100.0
2022-07-10,100.0
2022-07-11,70.0
2022-07-12,100.0
2022-07-13,300.0
2022-07-14,130.0
2022-07-15,140.0
2022-07-16,160.0
2022-07-17,150.0
2022-07-18,100.0
2022-07-19,200.0
2022-07-20,100.0
2022-07-21,150.0
2022-07-22,240.0
2022-07-23,280.0
2022-07-24,180.0
2022-07-25,170.0
2022-07-26,200.0
2022-07-27,160.0
2022-07-28,270.0
2022-07-29,170.0
2022-07-30,160.0
2022-07-31,200.0
2022-08-01,140.0
2022-08-02,180.0
2022-08-03,150.0
2022-08-04,150.0
2022-08-05,250.0
2022-08-06,300.0
2022-08-07,140.0
2022-08-08,300.0
2022-08-09,160.0
2022-08-10,200.0
2022-08-11,200.0
2022-08-12,200.0
2022-08-13,150.0
2022-08-14,200.0
2022-08-15,150.0
2022-08-16,200.0
2022-08-17,200.0
2022-08-18,400.0
2022-08-19,200.0
2022-08-20,300.0
2022-08-21,200.0
2022-08-22,150.0
2022-08-23,150.0
2022-08-24,150.0
2022-08-25,400.0
2022-08-26,250.0
2022-08-27,250.0
2022-08-28,350.0
2022-08-29,450.0
2022-08-30,350.0
2022-08-31,450.0
2022-09-01,350.0
2022-09-02,350.0
2022-09-03,450.0
2022-09-04,300.0
2022-09-05,350.0
2022-09-06,460.0
2022-09-07,640.0
2022-09-08,650.0
2022-09-09,350.0
2022-09-10,400.0
2022-09-11,300.0
2022-09-12,350.0
2022-09-13,350.0
2022-09-14,200.0
2022-09-15,200.0
2022-09-16,200.0
2022-09-17,230.0
2022-09-18,170.0
2022-09-19,160.0
2022-09-20,300.0
2022-09-21,400.0
2022-09-22,550.0
2022-09-23,240.0
2022-09-24,400.0
2022-09-25,500.0
2022-09-26,550.0
2022-09-27,400.0
2022-09-28,430.0
2022-09-29,500.0
2022-09-30,530.0
2022-10-01,500.0
2022-10-02,320.0
2022-10-03,370.0
2022-10-04,200.0
2022-10-05,330.0
2022-10-06,350.0
2022-10-07,380.0
2022-10-08,440.0
2022-10-09,370.0
2022-10-10,240.0
2022-10-11,270.0
2022-10-12,420.0
2022-10-13,500.0
2022-10-14,400.0
2022-10-15,300.0
2022-10-16,320.0
2022-10-17,530.0
2022-10-18,430.0
2022-10-19,370.0
2022-10-20,100.0
2022-10-21,320.0
2022-10-22,400.0
2022-10-23,470.0
2022-10-24,480.0
2022-10-25,480.0
2022-10-26,320.0
2022-10-27,480.0
2022-10-28,550.0
2022-10-29,950.0
2022-10-30,620.0
2022-10-31,650.0
2022-11-01,800.0
2022-11-02,730.0
2022-11-03,840.0
2022-11-04,600.0
2022-11-05,490.0
2022-11-06,530.0
2022-11-07,710.0
2022-11-08,780.0
2022-11-09,740.0
2022-11-10,710.0
2022-11-11,810.0
2022-11-12,650.0
2022-11-13,510.0
2022-11-14,710.0
2022-11-15,630.0
2022-11-16,400.0
2022-11-17,350.0
2022-11-18,420.0
2022-11-19,330.0
2022-11-20,390.0
2022-11-21,400.0
2022-11-22,410.0
2022-11-23,310.0
2022-11-24,430.0
2022-11-25,560.0
2022-11-26,600.0
2022-11-27,590.0
2022-11-28,480.0
2022-11-29,500.0
2022-11-30,560.0
2022-12-01,650.0
2022-12-02,510.0
2022-12-03,550.0
2022-12-04,540.0
2022-12-05,510.0
2022-12-06,540.0
2022-12-07,340.0
2022-12-08,310.0
2022-12-09,370.0
2022-12-10,380.0
2022-12-11,620.0
2022-12-12,500.0
2022-12-13,740.0
2022-12-14,590.0
2022-12-15,680.0
2022-12-16,420.0
2022-12-17,590.0
2022-12-18,520.0
2022-12-19,430.0
2022-12-20,510.0
2022-12-21,660.0
2022-12-22,550.0
2022-12-23,480.0
2022-12-24,620.0
2022-12-25,550.0
2022-12-26,620.0
2022-12-27,550.0
2022-12-28,790.0
2022-12-29,690.0
2022-12-30,710.0
2022-12-31,760.0
2023-01-01,720.0
2023-01-02,750.0
2023-01-03,720.0
