date,value
2022-04-03,63751.38333333333
2022-04-04,64294.102399999996
2022-04-05,64229.829
2022-04-06,64297.81375
2022-04-07,65083.784400000004
2022-04-08,66441.914
2022-04-09,66274.0742
2022-04-10,66262.567
2022-04-11,66262.567
2022-04-12,66373.74549999999
2022-04-13,66373.74549999999
2022-04-14,66473.608
2022-04-15,66473.608
2022-04-16,70338.84540000002
2022-04-17,71541.8345
2022-04-18,71607.2145
2022-04-19,72372.11175
2022-04-20,72927.326
2022-04-21,72912.31
2022-04-22,73631.183
2022-04-23,75241.4015
2022-04-24,76472.67266666667
2022-04-25,76776.55466666668
2022-04-26,77135.429
2022-04-27,77356.48233333333
2022-04-28,78146.153
2022-04-29,78106.08333333334
2022-04-30,78096.82800000001
2022-05-01,78150.97
2022-05-02,78150.97
2022-05-03,78092.29525
2022-05-04,78417.97566666668
2022-05-05,78645.324
2022-05-06,78654.76025
2022-05-07,78528.41625000001
2022-05-08,78550.35
2022-05-09,78368.768
2022-05-10,78497.61600000001
2022-05-11,78700.578
2022-05-12,78700.578
2022-05-13,78973.56575
2022-05-14,78973.56575
2022-05-15,78967.9
2022-05-16,79066.98199999999
2022-05-17,78927.682
2022-05-18,78946.842
2022-05-19,78634.596
2022-05-20,78715.323
2022-05-21,79065.06599999999
2022-05-22,79127.23199999999
2022-05-23,79264.1482
2022-05-24,79469.182
2022-05-25,79518.7225
2022-05-26,79616.072
2022-05-27,79598.02350000001
2022-05-28,79600.72375
2022-05-29,79526.739
2022-05-30,79613.17575000001
2022-05-31,79671.218
2022-06-01,79700.48725
2022-06-02,79866.27
2022-06-03,79857.914
2022-06-04,79881.468
2022-06-05,79955.00700000001
2022-06-06,79911.84049999999
2022-06-07,79967.959
2022-06-08,80033.35366666668
2022-06-09,80076.2395
2022-06-10,80104.657
2022-06-11,80283.935
2022-06-12,80433.738
2022-06-13,80605.21650000001
2022-06-14,80605.21650000001
2022-06-15,80710.12
2022-06-16,80748.88
2022-06-17,80800.26550000001
2022-06-18,80869.206
2022-06-19,80880.594
2022-06-20,80881.931
2022-06-21,80868.437
2022-06-22,80901.908
2022-06-23,80951.911
2022-06-24,80970.247
2022-06-25,81033.052
2022-06-26,81079.339
2022-06-27,81104.431
2022-06-28,81104.431
2022-06-29,81156.1645
2022-06-30,81179.86850000001
2022-07-01,81205.931
2022-07-02,81210.049
2022-07-03,81363.765
2022-07-04,81428.238
2022-07-05,81428.238
2022-07-06,81685.593
2022-07-07,81715.367
2022-07-08,81722.549
2022-07-09,81725.622
2022-07-10,81725.622
2022-07-11,81733.8935
2022-07-12,81771.817
2022-07-13,81769.796
2022-07-14,81774.457
2022-07-15,81772.172
2022-07-16,81736.927
2022-07-17,81742.805
2022-07-18,81742.50099999999
2022-07-19,81649.77133333332
2022-07-20,81660.701
2022-07-21,81640.9405
2022-07-22,81629.455
2022-07-23,81673.444
2022-07-24,81671.837
2022-07-25,81646.192
2022-07-26,81670.8535
2022-07-27,81697.66
2022-07-28,81685.712
2022-07-29,81679.31349999999
2022-07-30,81666.039
2022-07-31,81681.224
2022-08-01,81696.087
2022-08-02,81731.629
2022-08-03,81686.971
2022-08-04,81648.259
2022-08-05,81643.157
2022-08-06,81661.89
2022-08-07,81662.958
2022-08-08,81691.554
2022-08-09,81691.554
2022-08-10,81711.2545
2022-08-11,81713.525
2022-08-12,81741.467
2022-08-13,81743.448
2022-08-14,81743.448
2022-08-15,81751.629
2022-08-16,81755.932
2022-08-17,81755.932
2022-08-18,81872.81049999999
2022-08-19,81872.81049999999
