date,value
2021-01-01,50.97
2021-01-04,50.37
2021-01-05,52.66
2021-01-06,54.36
2021-01-07,54.08
2021-01-08,55.12
2021-01-11,54.95
2021-01-12,56.09
2021-01-13,55.9
2021-01-14,55.16
2021-01-15,54.73
2021-01-18,54.6
2021-01-19,55.63
2021-01-20,56.08
2021-01-21,55.67
2021-01-22,55.21
2021-01-25,55.03
2021-01-26,55.76
2021-01-27,56.09
2021-01-28,55.52
2021-01-29,55.81
2021-02-01,56.45
2021-02-02,57.91
2021-02-03,58.71
2021-02-04,58.65
2021-02-05,59.7
2021-02-08,59.68
2021-02-09,59.76
2021-02-10,60.64
2021-02-11,60.78
2021-02-12,60.86
2021-02-15,62.95
2021-02-16,62.56
2021-02-17,63.36
2021-02-18,63.56
2021-02-19,62.5
2021-02-22,62.95
2021-02-23,64.03
2021-02-24,65.56
2021-02-25,66.0
2021-02-26,64.92
2021-03-01,64.55
2021-03-02,62.69
2021-03-03,63.44
2021-03-04,66.43
2021-03-05,68.07
2021-03-08,67.4
2021-03-09,65.86
2021-03-10,65.45
2021-03-11,67.9
2021-03-12,67.61
2021-03-15,66.91
2021-03-16,66.05
2021-03-17,65.64
2021-03-18,63.33
2021-03-19,62.09
2021-03-22,62.29
2021-03-23,60.21
2021-03-24,62.16
2021-03-25,59.89
2021-03-26,62.35
2021-03-29,61.74
2021-03-30,62.05
2021-03-31,61.63
2021-04-01,60.35
2021-04-02,60.35
2021-04-05,60.35
2021-04-06,60.25
2021-04-07,58.75
2021-04-08,59.73
2021-04-09,60.06
2021-04-12,60.68
2021-04-13,61.03
2021-04-14,63.79
2021-04-15,63.75
2021-04-16,63.94
2021-04-19,64.39
2021-04-20,62.45
2021-04-21,62.56
2021-04-22,63.12
2021-04-23,63.62
2021-04-26,63.53
2021-04-27,63.67
2021-04-28,65.44
2021-04-29,65.95
2021-04-30,65.69
2021-05-03,65.69
2021-05-04,67.22
2021-05-05,68.44
2021-05-06,67.13
2021-05-07,66.67
2021-05-10,66.43
2021-05-11,66.71
2021-05-12,68.53
2021-05-13,66.31
2021-05-14,67.51
2021-05-17,67.91
2021-05-18,68.06
2021-05-19,64.82
2021-05-20,64.86
2021-05-21,65.25
2021-05-24,66.64
2021-05-25,67.03
2021-05-26,67.28
2021-05-27,67.36
2021-05-28,67.74
2021-06-01,68.81
2021-06-02,68.91
2021-06-03,68.88
2021-06-04,69.8
2021-06-07,69.58
2021-06-08,68.9
2021-06-09,69.5
2021-06-10,69.66
2021-06-11,70.01
2021-06-14,70.73
2021-06-15,71.21
2021-06-16,72.54
2021-06-17,71.02
2021-06-18,71.22
2021-06-21,71.99
2021-06-22,72.92
2021-06-23,73.76
2021-06-24,73.81
2021-06-25,74.21
2021-06-28,73.38
2021-06-29,73.43
2021-06-30,74.91
2021-07-01,74.66
2021-07-02,74.85
2021-07-05,75.48
2021-07-06,73.47
2021-07-07,71.35
2021-07-08,71.95
2021-07-09,74.81
2021-07-12,74.28
2021-07-13,74.34
2021-07-14,74.59
2021-07-15,72.95
2021-07-16,71.99
2021-07-19,67.29
2021-07-20,67.25
2021-07-21,69.61
2021-07-22,70.66
2021-07-23,71.96
2021-07-26,71.79
2021-07-27,72.37
2021-07-28,72.44
2021-07-29,73.23
2021-07-30,73.97
2021-08-02,71.43
2021-08-03,70.6
2021-08-04,70.14
2021-08-05,69.75
2021-08-06,69.17
2021-08-09,66.79
2021-08-10,68.82
2021-08-11,68.04
2021-08-12,69.11
2021-08-13,68.85
2021-08-16,67.1
2021-08-17,67.29
2021-08-18,66.75
2021-08-19,63.28
2021-08-20,63.43
2021-08-23,66.1
2021-08-24,67.99
2021-08-25,68.77
2021-08-26,68.13
2021-08-27,69.22
2021-08-30,69.22
2021-08-31,70.88
2021-09-01,68.68
2021-09-02,71.43
2021-09-03,70.94
2021-09-06,70.03
2021-09-07,69.33
2021-09-08,71.24
2021-09-09,71.38
2021-09-10,71.15
2021-09-13,71.85
2021-09-14,72.05
2021-09-15,74.09
2021-09-16,72.38
2021-09-17,72.21
2021-09-20,71.86
2021-09-21,71.27
2021-09-22,72.91
2021-09-23,74.34
2021-09-24,75.16
2021-09-27,77.01
2021-09-28,76.48
2021-09-29,76.1
2021-09-30,75.86
2021-10-01,76.67
2021-10-04,79.7
2021-10-05,81.19
2021-10-06,79.44
2021-10-07,80.28
2021-10-08,80.88
2021-10-11,82.2
2021-10-12,81.54
2021-10-13,81.355
2021-10-14,81.3
2021-10-15,82.66
2021-10-18,82.24
2021-10-19,82.8
2021-10-20,83.21
2021-10-21,81.59
2021-10-22,82.93
2021-10-25,83.45
2021-10-26,83.78
2021-10-27,83.1
2021-10-28,81.51
2021-10-29,82.1
2021-11-01,83.1
2021-11-02,83.05
2021-11-03,80.52
2021-11-04,80.24
2021-11-05,81.1
2021-11-08,82.03
2021-11-09,82.5
2021-11-10,82.69
2021-11-11,81.38
2021-11-12,81.23
2021-11-15,79.57
2021-11-16,81.16
2021-11-17,80.27
2021-11-18,80.43
2021-11-19,78.18
2021-11-22,79.75
2021-11-23,81.51
2021-11-24,81.37
2021-11-25,80.45
2021-11-26,71.6
2021-11-29,73.35
2021-11-30,69.34
2021-12-01,70.55
2021-12-02,68.97
2021-12-03,70.48
2021-12-06,70.65
2021-12-07,74.51
2021-12-08,74.42
2021-12-09,73.55
2021-12-10,72.91
2021-12-13,72.97
2021-12-14,71.95
2021-12-15,71.23
2021-12-16,73.37
2021-12-17,71.61
2021-12-20,67.28
2021-12-21,70.81
2021-12-22,72.41
2021-12-23,74.06
2021-12-24,73.46
2021-12-27,73.46
2021-12-28,73.46
2021-12-29,76.21
2021-12-30,76.86
2021-12-31,76.8
2022-01-03,76.61
2022-01-04,77.62
2022-01-05,79.57
2022-01-06,80.89
2022-01-07,81.03
2022-01-10,80.56
2022-01-11,83.14
2022-01-12,84.57
2022-01-13,84.49
2022-01-14,85.19
2022-01-17,87.14
2022-01-18,87.88
2022-01-19,89.61
2022-01-20,90.09
2022-01-21,89.08
2022-01-24,86.98
2022-01-25,88.59
2022-01-26,91.73
2022-01-27,91.4
2022-01-28,92.78
2022-01-31,92.04
2022-02-01,90.47
2022-02-02,89.65
2022-02-03,90.86
2022-02-04,96.26
2022-02-07,96.9
2022-02-08,94.57
2022-02-09,94.51
2022-02-10,95.34
2022-02-11,93.71
2022-02-14,97.59
2022-02-15,95.54
2022-02-16,95.83
2022-02-17,91.88
2022-02-18,92.78
2022-02-21,95.55
2022-02-22,94.43
2022-02-23,94.99
2022-02-24,94.99
2022-02-25,91.85
2022-02-28,94.28
2022-03-01,98.29
2022-03-02,101.9
2022-03-03,98.77
2022-03-04,94.5
2022-03-07,105.23
2022-03-08,111.01
2022-03-09,101.88
2022-03-10,93.73
2022-03-11,91.73
2022-03-14,85.03
2022-03-15,82.1
2022-03-16,80.77
2022-03-17,87.77
2022-03-18,88.44
2022-03-21,95.3
2022-03-22,95.51
2022-03-23,101.81
2022-03-24,99.89
2022-03-25,97.81
2022-03-28,90.24
2022-03-29,86.92
2022-03-30,90.45
2022-03-31,82.91
2022-04-01,81.83
2022-04-04,79.72
2022-04-05,78.07
2022-04-06,75.04
2022-04-07,69.8
2022-04-08,70.89
2022-04-11,69.53
2022-04-12,76.15
2022-04-13,77.54
2022-04-14,78.15
2022-04-15,78.15
2022-04-18,78.15
2022-04-19,76.61
2022-04-20,76.28
2022-04-21,78.01
2022-04-22,76.4
2022-04-25,67.91
2022-04-26,73.01
2022-04-27,73.38
2022-04-28,75.68
2022-04-29,79.41
2022-05-02,79.41
2022-05-03,76.99
2022-05-04,79.94
2022-05-05,83.51
2022-05-06,85.71
2022-05-09,78.08
2022-05-10,75.24
2022-05-11,78.71
2022-05-12,79.68
2022-05-13,82.32
2022-05-16,84.13
2022-05-17,86.75
2022-05-18,81.61
2022-05-19,82.22
2022-05-20,84.45
2022-05-23,86.13
2022-05-24,86.84
2022-05-25,87.13
2022-05-26,90.71
2022-05-27,90.75
2022-05-30,92.83
2022-05-31,98.03
2022-06-01,94.53
2022-06-02,96.5
2022-06-03,96.73
2022-06-06,95.94
2022-06-07,97.53
2022-06-08,99.23
2022-06-09,100.2
2022-06-10,97.79
2022-06-13,98.01
2022-06-14,101.75
2022-06-15,98.24
2022-06-16,94.82
2022-06-17,91.35
2022-06-20,88.91
2022-06-21,89.63
2022-06-22,85.82
2022-06-23,86.73
2022-06-24,89.2
2022-06-27,90.62
2022-06-28,92.34
2022-06-29,93.92
2022-06-30,90.99
2022-07-01,89.53
2022-07-04,92.87
2022-07-05,81.48
2022-07-06,79.76
2022-07-07,85.29
2022-07-08,84.87
2022-07-11,85.15
2022-07-12,79.22
2022-07-13,78.14
2022-07-14,75.39
2022-07-15,83.89
2022-07-18,88.02
2022-07-19,84.33
2022-07-20,86.53
2022-07-21,84.2
