date,value
2021-01-01,490.45673533488997
2021-02-01,1035.6982445214198
2021-03-01,1618.2679992825097
2021-04-01,2511.4119997872203
2021-05-01,3129.002593397621
2021-06-01,3775.98636001212
2021-07-01,4770.135950517871
2021-08-01,5465.967982742932
2021-09-01,6184.879514498783
2021-10-01,7292.8034567080595
2021-11-01,8177.3773628197405
2021-12-01,9056.50671901484
2022-01-01,794.51879352582
2022-02-01,1766.20157190275
2022-03-01,2974.303737608281
2022-04-01,4786.675528078729
2022-05-01,5658.056398728019
2022-06-01,6375.938903744231
2022-07-01,7150.313155658819
2022-08-01,7818.384965490849
2022-09-01,8506.587413166106
2022-10-01,9788.25640039356
2022-11-01,10654.692398890682
2022-12-01,11586.21601116093
2023-03-01,1634.87175216404
2023-04-01,2282.3309225417006
2023-05-01,2853.0419823653006
2023-06-01,3381.6132380861404
2023-07-31,4192.922147162411
2023-08-31,4835.623173351059
2023-09-30,5575.480021668329
2023-10-31,7210.102348800081
2023-11-30,8226.199455323109
2023-12-01,8822.25144546481
2024-01-30,675.2266839795302
2024-02-01,1620.80905694704
2024-03-01,2928.3511463364894
2024-05-01,4951.03362263342
2024-07-31,6776.89088171521
2024-08-31,7555.449798544651
2024-10-31,9539.16754716527
2024-12-01,11131.061118306228
2025-01-01,789.06221004522
2025-03-01,2641.6207921498494
2025-04-01,3727.2280954706
2025-05-01,4239.942424057749
2025-07-31,5522.04381402955
2025-08-31,6027.023698165569
2025-09-01,6609.4869379293095
2025-10-31,7498.08423605959
2025-11-01,8029.0192760580785
2025-12-01,8476.848437449209
2026-01-01,393.28737593508
2026-03-01,1442.56974189374
