date,value
2021-01-01,64.0
2021-02-01,65.0
2021-03-01,63.0
2021-04-01,65.0
2021-05-01,67.0
2021-06-01,66.0
2021-07-01,64.0
2021-08-01,61.0
2021-09-01,64.0
2021-10-01,67.0
2021-11-01,63.0
2021-12-01,65.0
2022-01-01,69.0
2022-02-01,71.0
2022-03-01,83.0
2022-04-01,82.0
2022-05-01,83.0
2022-06-01,83.0
2022-07-01,83.0
2022-08-01,83.0
2022-09-01,77.0
2022-10-01,79.0
2022-11-01,79.0
2022-12-01,81.0
2023-01-01,82.0
2023-02-01,83.0
2023-03-01,82.0
2023-04-01,83.0
2023-05-01,82.0
2023-06-01,81.0
2023-07-01,82.0
2023-08-01,80.0
2023-09-01,80.0
2023-10-01,82.0
2023-11-01,85.0
2023-12-01,83.0
2024-01-01,85.0
2024-02-01,86.0
2024-03-01,87.0
2024-04-01,85.0
2024-05-01,87.0
2024-06-01,87.0
2024-07-01,87.0
2024-08-01,85.0
2024-09-01,84.0
2024-10-01,87.0
2024-11-01,87.0
2024-12-01,87.0
2025-01-01,87.0
2025-02-01,88.0
2025-03-01,87.0
2025-04-01,87.0
2025-05-01,86.0
2025-06-01,86.0
2025-07-01,86.0
2025-08-01,87.0
2025-09-01,87.0
2025-10-01,85.0
2025-11-01,84.0
2025-12-01,85.0
2026-01-01,84.0
2026-02-01,82.0
2026-03-01,80.0
2026-04-01,79.0
2026-05-01,79.0
2026-06-01,74.0
2026-07-01,74.0
2026-08-01,76.0
