date,value
2021-01-01,13649.3
2021-02-01,13552.05
2021-03-01,13802.12
2021-04-01,13825.43
2021-05-01,13938.08
2021-06-01,13574.58
2021-07-01,13757.05
2021-08-01,14016.994
2021-09-01,13898.52
2021-10-01,13945.07
2021-11-01,13886.33
2021-12-01,13565.35
2022-01-01,13610.27
2022-02-01,12935.11
2022-03-01,13052.3
2022-04-01,11005.37
2022-05-01,12475.93
2022-06-01,10774.98
2022-07-01,12155.89
2022-08-01,11869.9
2022-09-01,10792.19
2022-10-01,11374.08
2022-11-01,11389.51
2022-12-01,10434.58
2023-01-01,10807.6
2023-02-01,11106.4
2023-03-01,11906.06
2023-04-01,12475.59
2023-05-01,12353.15
2023-06-01,12670.27
2023-07-01,13313.45
2023-08-01,13703.6
2023-09-01,13648.34
2023-10-01,13541.23
2023-11-01,13432.97
2023-12-01,11965.07
2024-01-01,11922.37
2024-02-01,12258.66
2024-03-01,12534.41
2024-04-01,12750.84
2024-05-01,12703.81
2024-06-01,12601.67
2024-07-01,12277.51
2024-08-01,12165.77
2024-09-01,12787.13
2024-10-01,12726.2
2024-11-01,13096.72
2024-12-01,11879.97
2025-01-01,11965.8
2025-02-01,11880.61
2025-03-01,11750.73
2025-04-01,11791.77
2025-05-01,11696.34
2025-06-01,13090.58
2025-07-01,13080.46
2025-08-01,13142.34
2025-09-01,13162.8
2025-10-01,13201.46
2025-11-01,13259.02
2025-12-01,13415.16
2026-01-01,13639.25
2026-02-01,13548.76
2026-03-01,13413.8
2026-04-01,13213.19
2026-05-01,12955.28
2026-06-01,13104.15
2026-07-01,12720.85
2026-08-01,13194.88
