date,value
2021-01-01,597.4
2021-01-08,597.4
2021-01-15,590.4
2021-01-22,592.7
2021-01-29,589.5
2021-02-05,586.1
2021-02-12,591.5
2021-02-19,585.7
2021-02-26,589.6
2021-03-05,580.1
2021-03-12,580.4
2021-03-19,580.9
2021-03-26,577.7
2021-04-02,574.8
2021-04-09,580.5
2021-04-16,583.7
2021-04-23,589.5
2021-04-30,590.5
2021-05-07,590.6
2021-05-14,593.9
2021-05-21,600.9
2021-05-28,605.9
2021-06-04,605.2
2021-06-11,604.8
2021-06-18,595.1
2021-06-25,592.4
2021-07-02,591.0
2021-07-09,593.8
2021-07-16,597.4
2021-07-23,594.5
2021-07-30,599.6
2021-08-06,599.3
2021-08-13,593.8
2021-08-20,595.6
2021-08-27,615.6
2021-09-03,620.8
2021-09-10,620.1
2021-09-17,619.8
2021-09-24,617.9
2021-10-01,611.9
2021-10-08,615.4
2021-10-15,620.3
2021-10-22,621.6
2021-10-29,623.2
2021-11-05,622.1
2021-11-12,626.2
2021-11-19,626.3
2021-11-26,619.8
2021-12-03,622.8
2021-12-10,625.5
2021-12-17,626.3
2021-12-24,630.5
2021-12-31,630.6
2022-01-07,630.5
2022-01-14,638.2
2022-01-21,639.6
2022-01-28,634.1
2022-02-04,634.9
2022-02-11,639.6
2022-02-18,643.2
2022-02-25,629.4
2022-03-04,608.9
2022-03-11,611.8
2022-03-18,606.2
2022-03-25,604.4
2022-04-01,606.5
2022-04-08,609.4
2022-04-15,611.1
2022-04-22,607.1
2022-04-29,593.1
2022-05-06,592.1
2022-05-13,585.7
2022-05-20,583.4
2022-05-27,589.6
2022-06-03,591.3
2022-06-10,594.6
2022-06-17,582.3
2022-06-24,586.1
2022-07-01,586.8
2022-07-08,572.7
2022-07-15,565.3
2022-07-22,567.0
2022-07-29,571.2
2022-08-05,574.8
2022-08-12,580.6
2022-08-19,574.0
2022-08-26,566.8
2022-09-02,561.9
2022-09-09,557.4
2022-09-16,557.7
2022-09-23,549.7
2022-09-30,540.7
2022-10-07,548.7
2022-10-14,544.4
2022-10-21,541.0
2022-10-28,550.1
2022-11-04,541.6
2022-11-11,552.1
2022-11-18,568.8
2022-11-25,567.5
2022-12-02,571.3
