date,value
2021-01-01,10942951.368755367
2021-02-01,11028306.38943166
2021-03-01,11101093.211601907
2021-04-01,11165479.5522292
2021-05-01,11248104.100915695
2021-06-01,11325716.019212011
2021-07-01,11360825.738871569
2021-08-01,11380139.14262765
2021-09-01,11448419.977483416
2021-10-01,11575497.43923348
2021-11-01,11686622.214650119
2021-12-01,11782452.51681025
2022-01-01,11899098.796726672
2022-02-01,12038318.252648374
2022-03-01,12954434.271674916
2022-04-01,13156523.446313046
2022-05-01,13172311.274448622
2022-06-01,13126208.184988052
2022-07-01,13075015.973066598
2022-08-01,13007025.890006652
2022-09-01,13013529.402951654
2022-10-01,13036953.755876968
2022-11-01,13085190.484773712
2022-12-01,13187254.970554948
2023-01-01,13298027.912307609
2023-02-01,13359198.840704223
2023-03-01,13408627.87641483
2023-04-01,13459580.662345206
2023-05-01,13501305.362398477
2023-06-01,13551260.192239352
2023-07-01,13636633.13145046
2023-08-01,13674815.70421852
2023-09-01,13793786.600845223
2023-10-01,13908275.029632239
2023-11-01,14062656.882461155
2023-12-01,14165314.277703123
2024-01-01,14287135.98049137
2024-02-01,14384288.505158713
2024-03-01,14440387.230328832
2024-04-01,14512589.166480474
2024-05-01,14619982.326312428
2024-06-01,14713550.213200828
2024-07-01,14881284.685631318
2024-08-01,14911047.25500258
2024-09-01,14982620.281826595
2024-10-01,15094989.933940295
2024-11-01,15310848.28999564
2024-12-01,15512951.487423582
2025-01-01,15703760.790718893
2025-02-01,15830961.253123716
2025-03-01,15933862.501269018
2025-04-01,15997597.951274095
2025-05-01,16066387.622464573
2025-06-01,16098520.397709502
2025-07-01,16190281.963976447
2025-08-01,16125520.83612054
2025-09-01,16180347.606963351
2025-10-01,16261249.344998166
2025-11-01,16329546.592247158
2025-12-01,16381801.141342347
2026-01-01,16647186.319832094
2026-02-01,16768710.77996687
2026-03-01,16869323.044646673
2026-04-01,16892940.09690918
2026-05-01,16921658.095073927
