date,value
2022-06-06,0.82855
2022-06-13,0.797762
2022-06-20,0.686997
2022-06-27,0.80243
2022-07-04,0.832469
2022-07-11,0.628084
2022-07-18,0.630218
2022-07-25,0.550864
2022-08-01,0.564983
2022-08-08,0.597785
2022-08-15,0.622592
2022-08-22,0.644977
2022-08-29,0.719575
2022-09-05,0.755628
2022-09-12,0.693769
2022-09-19,0.740195
2022-09-26,1.0
2022-10-03,0.947817
2022-10-10,0.908319
2022-10-17,0.931804
2022-10-24,0.910428
2022-10-31,0.902421
2022-11-07,0.899854
2022-11-14,0.903995
2022-11-21,0.926595
2022-11-28,0.916915
2022-12-05,0.907955
2022-12-12,0.852741
2022-12-19,0.84278
2022-12-26,0.84793
2023-01-02,0.874813
2023-01-09,0.793391
2023-01-16,0.834736
2023-01-23,0.834075
2023-01-30,0.892421
2023-02-06,0.868938
2023-02-13,0.836978
2023-02-20,0.854188
2023-02-27,0.940355
2023-03-06,0.909672
2023-03-13,0.865331
2023-03-20,0.851246
2023-03-27,0.854721
2023-04-03,0.793642
2023-04-10,0.49623
2023-04-17,0.416473
2023-04-24,0.743899
2023-05-01,0.901559
2023-05-08,0.907325
2023-05-15,0.839021
2023-05-22,0.895256
2023-05-29,0.878498
2023-06-05,0.911034
2023-06-12,0.513417
2023-06-19,0.509903
2023-06-26,0.504745
2023-07-03,0.576307
2023-07-10,0.516935
2023-07-17,0.52002
2023-07-24,0.482922
2023-07-31,0.455186
2023-08-07,0.421444
2023-08-14,0.624319
2023-08-21,0.516175
2023-08-28,0.517425
2023-09-04,0.484978
2023-09-11,0.495523
2023-09-18,0.487219
2023-09-25,0.592971
2023-10-02,0.501167
2023-10-09,0.547774
2023-10-16,0.538996
2023-10-23,0.523042
2023-10-30,0.400363
2023-11-06,0.625023
2023-11-13,0.604359
2023-11-20,0.594803
2023-11-27,0.581066
2023-12-04,0.609859
2023-12-11,0.591481
2023-12-18,0.658201
2023-12-25,0.637169
2024-01-01,0.655995
2024-01-08,0.631705
2024-01-15,0.626891
2024-01-22,0.623873
2024-01-29,0.79411
2024-02-05,0.767053
2024-02-12,0.731578
2024-02-19,0.732961
2024-02-26,0.713751
2024-03-04,0.710873
2024-03-11,0.766761
2024-03-18,0.726816
2024-03-25,0.725597
2024-04-01,0.740949
2024-04-08,0.766417
2024-04-15,0.750756
2024-04-22,0.99936
2024-04-29,0.854055
2024-05-06,0.926741
2024-05-13,0.850821
2024-05-20,1.0
2024-05-27,0.928082
2024-06-03,0.929696
2024-06-10,0.394908
2024-06-17,0.410825
2024-06-24,0.36692
2024-07-01,0.410337
2024-07-08,0.360399
2024-07-15,0.372169
2024-07-22,0.323175
2024-07-29,0.346448
2024-08-05,0.355881
2024-08-12,0.393431
2024-08-19,0.388519
2024-08-26,0.487121
2024-09-02,0.429245
2024-09-09,0.469109
2024-09-16,0.539294
2024-09-23,0.632071
2024-09-30,0.596815
2024-10-07,0.796067
2024-10-14,0.780801
2024-10-21,0.762073
2024-10-28,0.884325
2024-11-04,0.896929
2024-11-11,0.914237
2024-11-18,0.925858
2024-11-25,0.965434
2024-12-02,1.0
2024-12-09,0.837147
2024-12-16,0.716639
2024-12-23,0.616042
2024-12-30,0.601413
2025-01-06,0.611176
2025-01-13,0.665345
2025-01-20,0.751079
2025-01-27,0.773644
2025-02-03,0.77321
2025-02-10,0.785716
2025-02-17,0.803079
2025-02-24,0.780661
2025-03-03,0.795491
2025-03-10,0.752473
2025-03-17,0.681454
2025-03-24,0.74135
2025-03-31,0.6817
2025-04-07,0.739698
2025-04-14,0.650511
2025-04-21,0.720669
2025-04-28,0.736849
2025-05-05,0.75063
2025-05-12,0.730762
2025-05-19,0.709328
2025-05-26,0.739463
2025-06-02,0.77029
2025-06-09,0.447897
2025-06-16,0.473573
2025-06-23,0.43994
2025-06-30,0.452901
2025-07-07,0.435719
2025-07-14,0.441159
2025-07-21,0.373361
2025-07-28,0.374937
2025-08-04,0.335508
2025-08-11,0.35897
2025-08-18,0.364315
2025-08-25,0.391533
2025-09-01,0.360033
2025-09-08,0.436016
2025-09-15,0.401059
2025-09-22,0.422037
2025-09-29,0.420519
2025-10-06,0.415902
2025-10-13,0.415093
2025-10-20,0.424237
2025-10-27,0.394288
2025-11-03,0.362673
2025-11-10,0.361092
2025-11-17,0.394509
2025-11-24,0.451093
2025-12-01,0.523991
2025-12-08,0.455212
2025-12-15,0.479193
2025-12-22,0.49329
2025-12-29,0.524938
2026-01-05,0.543797
2026-01-12,0.529332
2026-01-19,0.479089
2026-01-26,0.471608
2026-02-02,0.525177
2026-02-09,0.562095
2026-02-16,0.534412
2026-02-23,0.535615
2026-03-02,0.5058
2026-03-09,0.512567
2026-03-16,0.539539
2026-03-23,0.524776
2026-03-30,0.539997
2026-04-06,0.612107
2026-04-13,0.652426
2026-04-20,0.735402
2026-04-27,0.683598
2026-05-04,0.649116
2026-05-11,0.805775
2026-05-18,0.834186
2026-05-25,1.0
