date,value
2021-01-01,4.25
2021-02-01,4.25
2021-03-01,4.5
2021-04-01,5.0
2021-05-01,5.0
2021-06-01,5.5
2021-07-01,6.5
2021-08-01,6.5
2021-09-01,6.75
2021-10-01,7.5
2021-11-01,7.5
2021-12-01,8.5
2022-01-01,8.5
2022-02-01,20.0
2022-03-01,20.0
2022-04-01,17.0
2022-05-01,11.0
2022-06-01,9.5
2022-07-01,8.0
2022-08-01,8.0
2022-09-01,7.5
2022-10-01,7.5
2022-11-01,7.5
2022-12-01,7.5
2023-01-01,7.5
2023-02-01,7.5
2023-03-01,7.5
2023-04-01,7.5
2023-05-01,7.5
2023-06-01,7.5
2023-07-01,8.5
2023-08-01,12.0
2023-09-01,13.0
2023-10-01,15.0
2023-11-01,15.0
2023-12-01,16.0
2024-01-01,16.0
2024-02-01,16.0
2024-03-01,16.0
2024-04-01,16.0
2024-05-01,16.0
2024-06-01,16.0
2024-07-01,18.0
2024-08-01,18.0
2024-09-01,19.0
2024-10-01,21.0
2024-11-01,21.0
2024-12-01,21.0
2025-01-01,21.0
2025-02-01,21.0
2025-03-01,21.0
2025-04-01,21.0
2025-05-01,21.0
2025-06-01,20.0
2025-07-01,18.0
2025-08-01,18.0
2025-09-01,17.0
2025-10-01,16.5
2025-11-01,16.5
2025-12-01,16.0
2026-01-01,16.0
2026-02-01,15.5
2026-03-01,15.0
2026-04-01,14.5
