date,value
2021-01-01,-56.0
2021-02-01,-536.3
2021-03-01,286.6
2021-04-01,329.9
2021-05-01,442.1
2021-06-01,774.7
2021-07-01,1035.3
2021-08-01,1077.0
2021-09-01,1625.0
2021-10-01,2297.1
2021-11-01,2499.1
2021-12-01,524.3
2022-01-01,256.1
2022-02-01,537.3
2022-03-01,1303.5
2022-04-01,1164.4
2022-05-01,1589.1
2022-06-01,1482.3
2022-07-01,557.5
2022-08-01,291.9
2022-09-01,202.7
2022-10-01,354.7
2022-11-01,742.8
2022-12-01,-3294.6
2023-01-01,-1649.3
2023-02-01,-2378.9
2023-03-01,-2085.8
2023-04-01,-3049.4
2023-05-01,-3029.5
2023-06-01,-2350.2
2023-07-01,-2587.9
2023-08-01,-2128.2
2023-09-01,-1450.1
2023-10-01,-1049.9
2023-11-01,-747.7
2023-12-01,-3229.8
2024-01-01,-124.0
2024-02-01,-1130.2
2024-03-01,-295.3
2024-04-01,-1140.2
2024-05-01,-730.4
2024-06-01,-602.4
2024-07-01,-1098.3
2024-08-01,-27.6
2024-09-01,578.5
2024-10-01,124.2
2024-11-01,37.8
2024-12-01,-3471.9
2025-01-01,-1466.3
2025-02-01,-2416.3
2025-03-01,-1960.0
2025-04-01,-2930.8
2025-05-01,-3029.2
2025-06-01,-3386.6
2025-07-01,-4621.6
2025-08-01,-3920.3
2025-09-01,-3470.6
2025-10-01,-3942.3
2025-11-01,-4010.1
2025-12-01,-5626.5
2026-01-01,-1628.9
2026-02-01,-3324.4
2026-03-01,-4509.6
2026-04-01,-5796.2
2026-05-01,-5926.9
2026-06-01,-5748.7
2026-07-01,-6454.8
