date,value
2021-01-01,5.2
2021-02-01,5.7
2021-03-01,5.8
2021-04-01,5.5
2021-05-01,6.0
2021-06-01,6.5
2021-07-01,6.5
2021-08-01,6.68
2021-09-01,7.4
2021-10-01,8.13
2021-11-01,8.4
2021-12-01,8.39
2022-01-01,8.73
2022-02-01,9.15
2022-03-01,16.69
2022-04-01,17.83
2022-05-01,17.1
2022-06-01,15.9
2022-07-01,15.1
2022-08-01,14.3
2022-09-01,13.68
2022-10-01,12.63
2022-11-01,11.98
2022-12-01,11.94
2023-01-01,11.77
2023-02-01,10.99
2023-03-01,3.51
2023-04-01,2.31
2023-05-01,2.51
2023-06-01,3.25
2023-07-01,4.3
2023-08-01,5.15
2023-09-01,6.0
2023-10-01,6.69
2023-11-01,7.48
2023-12-01,7.42
2024-01-01,7.44
2024-02-01,7.69
2024-03-01,7.72
2024-04-01,7.84
2024-05-01,8.3
2024-06-01,8.59
2024-07-01,9.13
2024-08-01,9.05
2024-09-01,8.63
2024-10-01,8.54
2024-11-01,8.88
2024-12-01,9.52
2025-01-01,9.92
2025-02-01,10.06
2025-03-01,10.34
2025-04-01,10.23
2025-05-01,9.88
2025-06-01,9.4
2025-07-01,8.79
2025-08-01,8.14
2025-09-01,7.98
2025-10-01,7.71
2025-11-01,6.64
2025-12-01,5.59
2026-01-01,6.0
2026-02-01,5.91
2026-03-01,5.86
2026-04-01,5.58
