date,value
2021-01-01,101079.68769776986
2021-04-01,102189.85353722583
2021-07-01,103976.44624933616
2021-10-01,107560.4449848231
2022-01-01,110614.25490295279
2022-04-01,114334.45356716891
2022-07-01,103368.208987591
2022-10-01,108765.20375362653
2023-01-01,117390.613565949
2023-04-01,121389.06838382485
2023-07-01,127655.31199241137
2023-10-01,137265.07412875496
2024-01-01,141749.7600131682
2024-04-01,145256.1905353116
2024-07-01,149659.71123929656
2024-10-01,158660.96841624804
2025-01-01,165127.14839302146
2025-04-01,162107.86212
2025-07-01,164142.07902999996
2025-10-01,170480.30567000003
2026-01-01,174741.58454
2026-04-01,176598.3845
